id,country_id,region_id,name,iso_code
9205,250,389,Saujon,sjn
9206,250,391,Saulce-sur-Rhone,urh
9207,250,372,Saulcet,tce
9208,250,377,Saulcy,uyc
9209,250,384,Saulcy-sur-Meurthe,s2y
9210,250,374,Saulieu,ieu
9211,250,374,Saulon-la-Chapelle,slz
9212,250,374,Saulon-la-Rue,sl2
9213,250,386,Saultain,slt
9214,250,391,Sault-Brénaz,sbr
9215,250,371,Sault-de-Navailles,sd2
9216,250,377,Sault-lès-Rethel,ult
9217,250,379,Saulx,sxh
9218,250,381,Saulx-les-Chartreux,sxu
9219,250,384,Saulxures-lès-Nancy,sly
9220,250,384,Saulxures-sur-Moselotte,slx
9221,250,387,Saumur,sau
9222,250,370,Sausheim,shm
9223,250,381,Saussay,ysw
9224,250,380,Saussay-la-Campagne,ycp
9225,250,,Sausset-les-Pins,s22
9226,250,371,Saussignac,sa4
9227,250,382,Saussines,sa9
9228,250,371,Sauternes,su2
9229,250,382,Sauteyrargues,su3
9230,250,387,Sautron,sat
9231,250,371,Sauvelade,uvd
9232,250,391,Sauverny,ysv
9233,250,,Sauveterre,svt
9234,250,371,Sauveterre-de-Guyenne,tuy
9235,250,382,Sauvian,hsv
9236,250,383,Sauviat-sur-Vige,ssw
9237,250,379,Sauvigney-les-Pesmes,ziw
9238,250,374,Sauvigny-les-Bois,slj
9239,250,384,Sauvoy,syq
9240,250,385,Saux,sw9
9241,250,385,Sauzet,sw3
9242,250,391,Sauzet,szt
9243,250,389,Sauzé-Vaussais,szv
9244,250,,Sauzon,so6
9245,250,391,Savasse,svz
9246,250,387,Savenay,sna
9247,250,387,Savennieres,sw4
9248,250,385,Saverdun,sd7
9249,250,370,Saverne,sav
9250,250,385,Savignac,sw2
9251,250,371,Savignac,sc3
9252,250,371,Savignac Ledrier,s7v
9253,250,371,Savignac-de-Duras,sa2
9254,250,371,Savignac-sur-l'Isle,ffl
9255,250,382,Savignargues,sa3
9256,250,376,Savigné-sur-Lathan,svh
9257,250,391,Savigneux,svj
9258,250,391,Savigny,sgy
9259,250,374,Savigny-en-Revermont,syr
9260,250,376,Savigny-en-Sancerre,sa5
9261,250,376,Savigny-en-véron,svo
9262,250,374,Savigny-lès-Beaune,lgb
9263,250,381,Savigny-le-Temple,svg
9264,250,389,Savigny-Levescault,syl
9265,250,,Savigny-sur-Aisne,iyu
9266,250,376,Savigny-sur-Braye,syb
9267,250,374,Savigny-sur-Clairis,ycs
9268,250,381,Savigny-sur-Orge,gyg
9269,250,374,Savigny-sur-Seille,svu
9270,250,390,Savines-le-Lac,sil
9271,250,376,Savonnières,onr
9272,250,384,Savonnieres-en-Perthois,vnp
9273,250,379,Savoyeux,sv2
9274,250,386,Savy-Berlette,sbl
9275,250,372,Sayat,yat
9276,250,382,Saze,sa7
9277,250,376,Sazilly,sa8
9278,250,375,Scaër,sca
9279,250,381,Sceaux,szx
9280,250,379,Scey-sur-Saône-et-Saint-Albin,ssa
9281,250,370,Schaeffersheim,s2h
9282,250,384,Schalbach,slw
9283,250,370,Scharrachbergheim,ght
9284,250,370,Scherwiller,rwl
9285,250,370,Schiltigheim,sch
9286,250,370,Schirmeck,smk
9287,250,370,Schlierbach,rbh
9288,250,384,Schoeneck,shk
9289,250,370,Schopperten,shp
9290,250,370,Schweighausen-sur-Moder,scw
9291,250,370,Schweighouse-Thann,shw
9292,250,370,Schwindratzheim,swm
9293,250,391,Sciez,zhm
9294,250,391,Scionzier,scz
9295,250,,Scorbe-Clairvaux,rbx
9296,250,376,Scoury,qsy
9297,250,384,Scy-Chazelles,ych
9298,250,386,Seclin,scn
9299,250,389,Secondigny,hsy
9300,250,377,Sedan,sed
9301,250,371,Sedze-Maubecq,hdy
9302,250,370,Seebach,zbd
9303,250,373,Sées,ees
9304,250,391,Ségny,sxy
9305,250,389,Segonzac,sza
9306,250,385,Ségoufielle,seg
9307,250,387,Segré,egr
9308,250,371,Seguret,ikr
9309,250,390,Séguret,eg8
9310,250,384,Seichamps,seh
9311,250,387,Seiches-sur-le-Loir,ihl
9312,250,374,Seignelay,eig
9313,250,376,Seigy,4sy
9314,250,385,Seilh,sih
9315,250,383,Seilhac,sha
9316,250,385,Seilhan,shn
9317,250,390,Seillans,sv7
9318,250,391,Seillonnaz,hyu
9319,250,,Sein,si3
9320,250,381,Seine-Port,st2
9321,250,385,Seix,six
9322,250,370,Sélestat,sel
9323,250,376,Selles-Saint-Denis,szd
9324,250,376,Selles-sur-Cher,ssh
9325,250,379,Sellières,eli
9326,250,379,Seloncourt,sc7
9327,250,374,Selongey,sey
9328,250,,Seltz,zzs
9329,250,385,Séméac,seq
9330,250,384,Semécourt,scq
9331,250,371,Semens,trp
9332,250,389,Semoussac,ovd
9333,250,377,Semoutiers-Monsaon,suo
9334,250,376,Sémoy,soy
9335,250,374,Semur-en-Auxois,sex
9336,250,374,Senailly,eny
9337,250,384,Senard,erd
9338,250,388,Senarpont,srp
9339,250,390,Sénas,sea
9340,250,379,Senaud,ead
9341,250,,Sene,sn4
9342,250,375,Séné,m56
9343,250,386,Senlis,sei
9344,250,388,Senlis,sno
9345,250,374,Sennecé-lès-Mâcon,nec
9346,250,374,Sennecey-le-Grand,lqz
9347,250,374,Sennecey-lès-Dijon,syo
9348,250,376,Senonches,seo
9349,250,384,Senones,snn
9350,250,385,Senouillac,eno
9351,250,374,Sens,sen
9352,250,385,Sentaraille,sxl
9353,250,370,Sentheim,s3e
9354,250,377,Senuc,se7
9355,250,370,Seppois-Le-Bas,zik
9356,250,390,Septèmes-les-Vallons,sep
9357,250,385,Septfonds,nds
9358,250,388,Septmonts,eot
9359,250,,Sept-Saulx,ppt
9360,250,381,Sept-Sorts,ept
9361,250,386,Sequedin,sqn
9362,250,388,Serain,sri
9363,250,373,Serans,ljw
9364,250,382,Serdinya,dya
9365,250,384,Serémange-Erzange,smg
9366,250,391,Sérézin-du-Rhône,sdr
9367,250,388,Sergy,akg
9368,250,391,Sergy,swg
9369,250,388,Sérifontaine,ser
9370,250,371,Serignac-sur-Garonne,rcg
9371,250,382,Serignan,skg
9372,250,390,Serignan-du-Comtat,sd8
9373,250,373,Serigny,gnj
9374,250,383,Serilhac,ihc
9375,250,381,Sermaise,qrs
9376,250,376,Sermaises,sws
9377,250,377,Sermaize-les-Bains,ziv
9378,250,379,Sermamagny,yaa
9379,250,377,Sermiers,pxa
9380,250,382,Sernhac,ubm
9381,250,380,Serqueux,sqx
9382,250,377,Serqueux,qqr
9383,250,380,Serquigny,srq
9384,250,378,Serra-di-Ferro,qzh
9385,250,390,Serre-Chevalier,sec
9386,250,390,Serres,2sr
9387,250,390,Serres,swr
9388,250,371,Serres-Castet,rre
9389,250,371,Serres-Morlaas,sm7
